cid,name,atc,smiles_raw,smiles_sanitized,ts
100000222,ammonia,,C[C@](CNC(=O)C(=O)NC1CCCC1)(C2=CC3=CC=CC=C3O2)O,CC(O)(CNC(=O)C(=O)NC1CCCC1)c1cc2ccccc2o1,1762199686
100000232,arginine,B05XB01,C[C@](CNC(=O)C(=O)NC1=CC=CC=C1)(C2=CC3=CC=CC=C3O2)O,CC(O)(CNC(=O)C(=O)Nc1ccccc1)c1cc2ccccc2o1,1762199687
100000244,benzyl,,C1[C@@H]([C@]1(CO)C(=O)O)S(=O)(=O)C2=CC=C(C=C2)Cl,O=C(O)C1(CO)CC1S(=O)(=O)c1ccc(Cl)cc1,1762199688
100000247,betaine,A09AB02,CC1=CC(=O)OC2=C3[C@@H](CC(=O)OC3=C(C(=C12)O)C(=O)C)C4=CC5=C(C=C4[N+](=O)[O-])OCO5,CC(=O)c1c2c(c3oc(=O)cc(C)c3c1O)C(c1cc3c(cc1[N+](=O)[O-])OCO3)CC(=O)O2,1762199688
100000271,calcium,A07XA03,C1[C@H]([C@]1(CO)N)S(=O)(=O)C2=CC=C(C=C2)Cl,NC1(CO)CC1S(=O)(=O)c1ccc(Cl)cc1,1762199689
100000297,graphene,,C[C@](CNC(=O)C(=O)NC1=CC=CC(=C1)C(F)(F)F)(C2=CC3=CC=CC=C3O2)O,CC(O)(CNC(=O)C(=O)Nc1cccc(C(F)(F)F)c1)c1cc2ccccc2o1,1762199689
100000298,chloramphenicol,D06AX02,CN(CC1=NC(=NO1)C2=CC=CS2)C(=O)C3=CC=C(C=C3)CSC4=CC=CC=C4,CN(Cc1nc(-c2cccs2)no1)C(=O)c1ccc(CSc2ccccc2)cc1,1762199690
100000303,bile,A05AA03,CCN(CC1=NC(=NO1)C2=CC=CS2)C(=O)C3=CC=C(C=C3)CSC4=CC=CC=C4,CCN(Cc1nc(-c2cccs2)no1)C(=O)c1ccc(CSc2ccccc2)cc1,1762199690
100000305,choline,,C[C@](CNC(=O)C(=O)NC1=CC=C(C=C1)OC(F)(F)F)(C2=CC3=CC=CC=C3O2)O,CC(O)(CNC(=O)C(=O)Nc1ccc(OC(F)(F)F)cc1)c1cc2ccccc2o1,1762199691
100000311,citric,A09AB04,COC[C@]1(C[C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C(=O)O,COCC1(C(=O)O)CC1S(=O)(=O)c1ccc(Cl)cc1,1762199691
100000312,chloride,A09AB03,COC1=NC=C(C=C1)[C@@H](C2CC(C2)O)NC(=O)C3=C(C=CC=N3)O,COc1ccc(C(NC(=O)c2ncccc2O)C2CC(O)C2)cn1,1762199692
100000338,salicylate,D01AE12,C1[C@@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C(=O)O,O=C(O)C1CC1S(=O)(=O)c1ccc(Cl)cc1,1762199692
100000401,D-cycloserine,J04AB01,CC(C)(C)OC(=O)N[C@@]1(C[C@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C=O,CC(C)(C)OC(=O)NC1(C=O)CC1S(=O)(=O)c1ccc(Cl)cc1,1762199693
100000444,bupropion,N06AX12,CC1=C(C=C(C=C1)[C@H](C)NC(=O)C2=CC=C(C=C2)CSC3=CC=C(C=C3)Cl)C,Cc1ccc(C(C)NC(=O)c2ccc(CSc3ccc(Cl)cc3)cc2)cc1C,1762199693
100000450,estradiol,G03CA03,C1[C@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)C(=S)N,NC(=S)C1CC1S(=O)(=O)c1ccc(Cl)cc1,1762199694
100000453,mannitol,A06AD16,CC[C@@H](C1=CC(=C(C=C1)C)C)NC(=O)C2=CC=C(C=C2)CSC3=CC=C(C=C3)Cl,CCC(NC(=O)c1ccc(CSc2ccc(Cl)cc2)cc1)c1ccc(C)c(C)c1,1762199695
100000564,EACA,B02AA01,COC1=CC=C(C=C1)N2C[C@]34C=C[C@@H](O3)[C@H]([C@H]4C2=O)C(=O)O,COc1ccc(N2CC34C=CC(O3)C(C(=O)O)C4C2=O)cc1,1762199695
100000581,N-acetylcysteine,R05CB01,CN1C2=CC=CC=C2C=C(C1=O)[C@@H]3CC(=O)OC4=C3C5=C(C=C4)C(=O)/C(=C/C6=C(C(=CC=C6)OC)OC)/O5,COc1cccc(C=C2Oc3c(ccc4c3C(c3cc5ccccc5n(C)c3=O)CC(=O)O4)C2=O)c1OC,1762199696
100000596,cytarabine,L01BC01,CS(=O)(=O)[C@H]1[C@H]([C@@H]1C2=CC=CC=C2)C#N,CS(=O)(=O)C1C(C#N)C1c1ccccc1,1762199696
100000598,mesna,R05CB05,CC1=CC2=C([C@H](CC(=O)O2)C3=C(C(=CC=C3)OC)OCCC4=CC=CC=C4)C(=O)O1,COc1cccc(C2CC(=O)Oc3cc(C)oc(=O)c32)c1OCCc1ccccc1,1762199697
100000612,lactate,G01AD01,CC(C)N1C=C(N=C1)S(=O)(=O)NC[C@]2(CCCC3=C2C=CC(=C3)OC)O,COc1ccc2c(c1)CCCC2(O)CNS(=O)(=O)c1cn(C(C)C)cn1,1762199697
100000679,DMSO,G04BX13,CC1=CC(=NN1CCCC(=O)N2CCC[C@@H]2C3=CC=CC=C3OC)C,COc1ccccc1C1CCCN1C(=O)CCCn1nc(C)cc1C,1762199698
100000681,dopamine,C01CA04,CC1=C(C=CC=C1Cl)NC(=O)C(=O)NC[C@@]2(CCCC3=C2C=CC(=C3)OC)O,COc1ccc2c(c1)CCCC2(O)CNC(=O)C(=O)Nc1cccc(Cl)c1C,1762199699
100000698,estrone,G03CA07,COC1=CC2=C(C=C1)[C@](CCC2)(CNC(=O)C(=O)NCC3=CC4=C(C=C3)OCO4)O,COc1ccc2c(c1)CCCC2(O)CNC(=O)C(=O)NCc1ccc2c(c1)OCO2,1762199699
100000699,Oestrogen,,CS(=O)(=O)[C@@H]1[C@@H]([C@@]1(CN)C(=O)O)C2=CC=CC=C2,CS(=O)(=O)C1C(c2ccccc2)C1(CN)C(=O)O,1762199700
100000700,monoethanolamine,,COC1=CC=C(C=C1)CCOC2=C(C=C(C=C2)[C@@H](CC(=O)OC)C3=C(C(=O)C=C(O3)CN4C[C@@H]5C[C@H](C4)C6=CC=CC(=O)N6C5)O)OC,COC(=O)CC(c1ccc(OCCc2ccc(OC)cc2)c(OC)c1)c1oc(CN2CC3CC(C2)c2cccc(=O)n2C3)cc(=O)c1O,1762199700
100000727,lindane,P03AB02,CN(CC1=NC(=NO1)C2=C(C=C(C=C2)OC)OC)C(=O)CSCC3=CC=CC=C3,COc1ccc(-c2noc(CN(C)C(=O)CSCc3ccccc3)n2)c(OC)c1,1762199701
100000738,glutamine,A16AA03,C1CCN2C[C@H]3C[C@@H]([C@@H]2C1)C=C4[C@H]3N(CCC4)C(=O)CC5=CC(=C(C=C5F)F)F,O=C(Cc1cc(F)c(F)cc1F)N1CCCC2=CC3CC(CN4CCCCC34)C21,1762199702
100000750,glycine,B05CX03,C=CCN1C[C@H](CC1=O)C(=O)NCCCC2=CC=NC=C2,C=CCN1CC(C(=O)NCCCc2ccncc2)CC1=O,1762199702
100000753,glycerol,A06AG04,COC[C@@]1([C@H]([C@@H]1S(=O)(=O)C)C2=CC=CC=C2)CN,COCC1(CN)C(c2ccccc2)C1S(C)(=O)=O,1762199703
100000767,bicarbonate,,COC1=C(C2=C(C=C1)[C@H]3N(C(=O)C4=CC=CC=C4N3C2=O)CCCC(=O)NCC5=CC=CC=C5)OC,COc1ccc2c(c1OC)C(=O)N1c3ccccc3C(=O)N(CCCC(=O)NCc3ccccc3)C21,1762199703
100000772,LMWH,B01AB05,COC1=CC2=C(C=C1)[C@@](CCC2)(CNC(=O)NC3=CC=CC=C3C(F)(F)F)O,COc1ccc2c(c1)CCCC2(O)CNC(=O)Nc1ccccc1C(F)(F)F,1762199704
100000774,histamine,L03AX14,CC1=CC(=C(C=C1)C)[C@@H](C)NC(=O)CSCC2=CC=CC=C2C,Cc1ccc(C)c(C(C)NC(=O)CSCc2ccccc2C)c1,1762199704
100000785,quinol,D11AX11,CS(=O)(=O)[C@@H]1[C@H](C1(CO)CO)C2=CC=CC=C2,CS(=O)(=O)C1C(c2ccccc2)C1(CO)CO,1762199705
100000813,potassium,,CC1=CC=CC=C1CSCC(=O)NCCCC2=CC(=CC=C2)OC(C)C,Cc1ccccc1CSCC(=O)NCCCc1cccc(OC(C)C)c1,1762199706
100000815,kanamycin,A07AA08,CS(=O)(=O)[C@H]1[C@@H]([C@]1(CO)N)C2=CC=CC=C2,CS(=O)(=O)C1C(c2ccccc2)C1(N)CO,1762199706
100000838,epinephrine,A01AD01,CC1=CC(=C(C(=O)N1CCC2=CC=C(C=C2)O)[C@@H](CC(=O)OC)C3=CC=NC4=CC=CC=C34)O,COC(=O)CC(c1c(O)cc(C)n(CCc2ccc(O)cc2)c1=O)c1ccnc2ccccc12,1762199707
100000853,thyroxine,C10AX01,COC[C@]1([C@H]([C@@H]1S(=O)(=O)C)C2=CC=CC=C2)C(=O)O,COCC1(C(=O)O)C(c2ccccc2)C1S(C)(=O)=O,1762199708
100000861,triiodothyronine,H03AA02,CC1CCN(CC1)C2=CC=C(C=C2)[C@H](C)NC(=O)CSCC3=CC=CC=C3C,Cc1ccccc1CSCC(=O)NC(C)c1ccc(N2CCC(C)CC2)cc1,1762199708
100000888,magnesium,A12CC30,C1[C@@H](C2=C(C=CC3=C2O/C(=C\C4=CN=CC=C4)/C3=O)OC1=O)C5=CC=CC=C5,O=C1CC(c2ccccc2)c2c(ccc3c2OC(=Cc2cccnc2)C3=O)O1,1762199709
100000896,melatonin,N05CH01,CC1=CC=CC=C1CSCC(=O)N[C@@H]2CC(OC3=C2C=CC(=C3)OC)(C)C,COc1ccc2c(c1)OC(C)(C)CC2NC(=O)CSCc1ccccc1C,1762199709
100000923,sodium,,COC[C@@]1([C@H]([C@@H]1S(=O)(=O)C)C2=CC=CC=C2)C(=S)N,COCC1(C(N)=S)C(c2ccccc2)C1S(C)(=O)=O,1762199710
100000937,niacin,C04AC01,CC1=CC(=CC=C1)C2=NOC(=N2)CNC(=O)CSCC3=CC=CC=C3C,Cc1cccc(-c2noc(CNC(=O)CSCc3ccccc3C)n2)c1,1762199710
100000942,nicotine,N07BA01,CS(=O)(=O)[C@H]1[C@H]([C@H]1C(=S)N)C2=CC=CC=C2,CS(=O)(=O)C1C(C(N)=S)C1c1ccccc1,1762199711
100000946,nitrite,,CS(=O)(=O)[C@H]1[C@H]([C@@H]1C(=S)N)C2=CC=CC=C2,CS(=O)(=O)C1C(C(N)=S)C1c1ccccc1,1762199712
100000948,nitrous,N01AX13,CC1=C(SC(=N1)C2=CC=C(C=C2)OC)C(=O)N3C[C@@H]4C[C@H](C3)C5=CC=CC(=O)N5C4,COc1ccc(-c2nc(C)c(C(=O)N3CC4CC(C3)c3cccc(=O)n3C4)s2)cc1,1762199713
100000951,norepinephrine,C01CA03,CC1=CC=CC=C1CSCC(=O)NCC2=NC(=NO2)C3=C(C=C(C=C3)OC)OC,COc1ccc(-c2noc(CNC(=O)CSCc3ccccc3C)n2)c(OC)c1,1762199714
100000961,hydroxyl,,CS(=O)(=O)[C@H]1[C@@H]([C@@H]1C2=CC=CC=C2)C=O,CS(=O)(=O)C1C(C=O)C1c1ccccc1,1762199714
100001003,phosphate,,CCS(=O)(=O)[C@@H]1[C@@H]([C@@]1(CO)C#N)C2=CC=CC=C2,CCS(=O)(=O)C1C(c2ccccc2)C1(C#N)CO,1762199715
100001046,pyrazinamide,J04AK01,CCS(=O)(=O)[C@H]1[C@@H]([C@@]1(COC)C#N)C2=CC=CC=C2,CCS(=O)(=O)C1C(c2ccccc2)C1(C#N)COC,1762199715
100001054,pyridoxine,A11HA02,CC1=CC=C(C=C1)CSCC(=O)NC2=CC=C(C=C2)OC3CCCC3,Cc1ccc(CSCC(=O)Nc2ccc(OC3CCCC3)cc2)cc1,1762199717
100001065,quinidine,C01BA01,CCS(=O)(=O)[C@H]1[C@H]([C@@H]1C2=CC=CC=C2)C#N,CCS(=O)(=O)C1C(C#N)C1c1ccccc1,1762199718
100001071,retinol,A11CA01,CCS(=O)(=O)[C@H]1[C@@H]([C@@H]1C2=CC=CC=C2)C#N,CCS(=O)(=O)C1C(C#N)C1c1ccccc1,1762199719
100001084,thiosulfate,V03AB06,CC[C@H](C1=CC=NC=C1)NC(=O)CN2C=NC(=C2C)C,CCC(NC(=O)Cn1cnc(C)c1C)c1ccncc1,1762199720
100001125,tetrahydrobiopterin,A16AX07,CC(C)C[C@H](C1=CN=CC=C1)NC(=O)CC2=CC=CC=C2C(F)(F)F,CC(C)CC(NC(=O)Cc1ccccc1C(F)(F)F)c1cccnc1,1762199721
100001130,thiamine,A11DA01,CC1=CC(=O)OC2=C3[C@H](CC(=O)OC3=C(C(=C12)O)C(=O)C)C4=CC=C(C=C4)OCC(C)C,CC(=O)c1c2c(c3oc(=O)cc(C)c3c1O)C(c1ccc(OCC(C)C)cc1)CC(=O)O2,1762199722
100001134,thymidine,J05AF11,CC1=CC=C(C=C1)CSCC(=O)N[C@@H](C)C2=CC(=C(C=C2)C)C,Cc1ccc(CSCC(=O)NC(C)c2ccc(C)c(C)c2)cc1,1762199722
100001206,methamphetamine,N06BA03,CC1=CC(=C(C(=O)O1)[C@H](CC(=O)OC)C2=CC(=C(C=C2OC)OC)OC)O,COC(=O)CC(c1cc(OC)c(OC)cc1OC)c1c(O)cc(C)oc1=O,1762199723
100001301,naproxen,G02CC02,CC1=CC2=C([C@@H](CC(=O)O2)C3=COC4=C(C3=O)C=C(C=C4)Cl)C(=O)O1,Cc1cc2c(c(=O)o1)C(c1coc3ccc(Cl)cc3c1=O)CC(=O)O2,1762199724
100001546,cladribine,L01BB04,COC1=CC=C(C=C1)CCCNC(=O)CSCC2=CC(=CC=C2)Cl,COc1ccc(CCCNC(=O)CSCc2cccc(Cl)c2)cc1,1762199724
100001690,doxorubicin,L01DB01,COC1=CC=C(C=C1)C2=NOC(=N2)CNC(=O)CSCC3=CC(=CC=C3)Cl,COc1ccc(-c2noc(CNC(=O)CSCc3cccc(Cl)c3)n2)cc1,1762199725
100001727,4-AP,,CC[C@@H](CN1C=CN=C1)NC(=O)CCC2=C(NC(=O)N=C2C)C,CCC(Cn1ccnc1)NC(=O)CCc1c(C)nc(=O)[nH]c1C,1762199726
100001775,phenytoin,N03AB02,COC1=CC=CC=C1CCCNC(=O)CSCC2=CC=C(C=C2)Cl,COc1ccccc1CCCNC(=O)CSCc1ccc(Cl)cc1,1762199726
100001798,methazolamide,S01EC05,C1=CC=C(C=C1)[C@@H]2[C@H]([C@H]2S(=O)(=O)C3=CC=CC=C3)C(=S)N,NC(=S)C1C(c2ccccc2)C1S(=O)(=O)c1ccccc1,1762199727
100001805,5-azacytidine,L01BC07,C1=CC=C(C=C1)[C@H]2[C@H]([C@H]2S(=O)(=O)C3=CC=CC=C3)C=O,O=CC1C(c2ccccc2)C1S(=O)(=O)c1ccccc1,1762199728
100001875,methylprednisolone,,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@@H]([C@@]2(C#N)C(=O)O)C3=CC=CC=C3,Cc1ccc(S(=O)(=O)C2C(c3ccccc3)C2(C#N)C(=O)O)cc1,1762199728
100001971,abacavir,J05AF06,C1CN(CCC1O)C2=NC(=NC=C2)N[C@@H](C3CC(C3)O)C4=CC=CC=N4,OC1CCN(c2ccnc(NC(c3ccccn3)C3CC(O)C3)n2)CC1,1762199729
100001972,amphotericin,A01AB04,CCOC(=O)[C@]1([C@H]([C@@H]1S(=O)(=O)C2=CC=C(C=C2)C)C3=CC=CC=C3)N,CCOC(=O)C1(N)C(c2ccccc2)C1S(=O)(=O)c1ccc(C)cc1,1762199730
100001978,acebutolol,C07AB04,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@H](C2(CN)CN)C3=CC=CC=C3,Cc1ccc(S(=O)(=O)C2C(c3ccccc3)C2(CN)CN)cc1,1762199730
100001983,acetaminophen,N02BE01,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@@H](C2(CN)CN)C3=CC=CC=C3,Cc1ccc(S(=O)(=O)C2C(c3ccccc3)C2(CN)CN)cc1,1762199731
100001986,acetazolamide,S01EC01,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@@H](C2(CN)CN)C3=CC=CC=C3,Cc1ccc(S(=O)(=O)C2C(c3ccccc3)C2(CN)CN)cc1,1762199732
100001990,acetohydroxamic,G04BX03,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@H]([C@@]2(CN)CO)C3=CC=CC=C3,Cc1ccc(S(=O)(=O)C2C(c3ccccc3)C2(CN)CO)cc1,1762199732
100001993,methacholine,,CC(C)C[C@H]1CC(=O)OC2=C1C3=C(C=C2)C(=O)/C(=C/C4=CN=CC=C4)/O3,CC(C)CC1CC(=O)Oc2ccc3c(c21)OC(=Cc1cccnc1)C3=O,1762199733
100002019,actinomycin,L01DA01,C1CC2(CCC1N[C@@H](CC3=CC=CC=N3)C4CC(C4)O)CCNCC2,OC1CC(C(Cc2ccccn2)NC2CCC3(CCNCC3)CC2)C1,1762199733
100002021,spectinomycin,J01XX04,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@@H]([C@]2(CN)N)C3=CC=CC=C3,Cc1ccc(S(=O)(=O)C2C(c3ccccc3)C2(N)CN)cc1,1762199734
100002022,acyclovir,D06BB03,CN(C)S(=O)(=O)C1=CC2=C(C=C1)N(CC2)C(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-],CN(C)S(=O)(=O)c1ccc2c(c1)CCN2C(=O)CSCc1ccc([N+](=O)[O-])cc1,1762199735
100002082,albendazole,P02CA03,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@@H]([C@@H]2C3=CC=CC=C3)CN,Cc1ccc(S(=O)(=O)C2C(CN)C2c2ccccc2)cc1,1762199735
100002083,salbutamol,R03AC02,CC(C)C1=CC=C(C=C1)[C@@H](CC(=O)OC)C2=C(C(=O)C=C(O2)CN3C[C@@H]4C[C@H](C3)C5=CC=CC(=O)N5C4)O,COC(=O)CC(c1ccc(C(C)C)cc1)c1oc(CN2CC3CC(C2)c2cccc(=O)n2C3)cc(=O)c1O,1762199736
100002085,Almeta,,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@H](C2(CO)CO)C3=CC=CC=C3,Cc1ccc(S(=O)(=O)C2C(c3ccccc3)C2(CO)CO)cc1,1762199737
100002088,alendronate,M05BA04,CC(C)OC1=CC=CC(=C1)CCCNC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-],CC(C)Oc1cccc(CCCNC(=O)CSCc2ccc([N+](=O)[O-])cc2)c1,1762199737
100002092,alfuzosin,G04CA01,CC(C)OC1=CC=C(C=C1)CCCNC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-],CC(C)Oc1ccc(CCCNC(=O)CSCc2ccc([N+](=O)[O-])cc2)cc1,1762199738
100002094,allopurinol,M04AA01,CC1=C(N(N=C1C)CCC(=O)NC[C@@H]2CCCN(C2)C3=CC=CC=N3)C,Cc1nn(CCC(=O)NCC2CCCN(c3ccccn3)C2)c(C)c1C,1762199739
100002099,alosetron,A03AE01,CN1C=C(C2=CC=CC=C21)CC(=O)N3CCCC4=C[C@H]5C[C@@H]([C@@H]43)CN6[C@H]5CCCC6,Cn1cc(CC(=O)N2CCCC3=CC4CC(CN5CCCCC45)C32)c2ccccc21,1762199739
100002118,alprazolam,N05BA12,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@@H]([C@]2(CO)N)C3=CC=CC=C3,Cc1ccc(S(=O)(=O)C2C(c3ccccc3)C2(N)CO)cc1,1762199740
100002123,hexamethylmelamine,L01XX03,COC1=C(C=C(C=C1)CCCNC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-])OC,COc1ccc(CCCNC(=O)CSCc2ccc([N+](=O)[O-])cc2)cc1OC,1762199741
100002130,amantadine,N04BB01,CC1=CC=CC=C1OC[C@H](C)NC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-],Cc1ccccc1OCC(C)NC(=O)CSCc1ccc([N+](=O)[O-])cc1,1762199741
100002133,amcinonide,D07AC11,CC1=CC=C(C=C1)OC[C@@H](C)NC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-],Cc1ccc(OCC(C)NC(=O)CSCc2ccc([N+](=O)[O-])cc2)cc1,1762199742
100002140,diatrizoate,V08AA01,CC1CCN(CC1)C2=CC=C(C=C2)[C@@H](C)NC(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-],CC1CCN(c2ccc(C(C)NC(=O)CSCc3ccc([N+](=O)[O-])cc3)cc2)CC1,1762199743
100002141,amifostine,V03AF05,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@@H]([C@]2(C(=O)O)N)C3=CC=CC=C3,Cc1ccc(S(=O)(=O)C2C(c3ccccc3)C2(N)C(=O)O)cc1,1762199743
100002142,amikacin,D06AX12,C1C[C@H](N(C1)C(=O)C2=CC=C(C=C2)CSC3=CC=CC=N3)C4=CC=CC=N4,O=C(c1ccc(CSc2ccccn2)cc1)N1CCCC1c1ccccn1,1762199744
100002145,aminoglutethimide,L02BG01,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@@H]([C@]2(C(=O)O)N)C3=CC=CC=C3,Cc1ccc(S(=O)(=O)C2C(c3ccccc3)C2(N)C(=O)O)cc1,1762199745
100002148,p-aminohippurate,V04CH30,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@H]([C@]2(COC)C(=O)O)C3=CC=CC=C3,COCC1(C(=O)O)C(c2ccccc2)C1S(=O)(=O)c1ccc(C)cc1,1762199745
100002153,theophylline,R03DA04,CC1=NN(C=C1Cl)CC(=O)N[C@@H](C2CC(C2)O)C3=C(C=C(C=C3)F)F,Cc1nn(CC(=O)NC(c2ccc(F)cc2F)C2CC(O)C2)cc1Cl,1762199746
100002156,amiodarone,C01BD01,COC1=CC=CC(=C1OC)/C=C\2/C(=O)C3=C(O2)C4=C(C=C3)OC(=O)C[C@@H]4C5=C(C(=CC=C5)OC)OCCC6=CC7=C(C=C6)OCC7,COc1cccc(C=C2Oc3c(ccc4c3C(c3cccc(OC)c3OCCc3ccc5c(c3)CCO5)CC(=O)O4)C2=O)c1OC,1762199746
100002159,amisulpride,N05AL05,CC1=CC2=C([C@@H](CC(=O)O2)C3=CC4=CC=CC=C4N(C3=O)CC(C)C)C(=O)O1,Cc1cc2c(c(=O)o1)C(c1cc3ccccc3n(CC(C)C)c1=O)CC(=O)O2,1762199747
100002160,amitriptyline,N06AA09,CC1=CC2=C(C=C1)[C@H](CC(O2)(C)C)NC(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-],Cc1ccc2c(c1)OC(C)(C)CC2NC(=O)CSCc1ccc([N+](=O)[O-])cc1,1762199748
100002161,amlexanox,A01AD07,CC1=CC=C(C=C1)S(=O)(=O)[C@H]2[C@H]([C@H]2C(=O)O)C3=CC=CC=C3,Cc1ccc(S(=O)(=O)C2C(C(=O)O)C2c2ccccc2)cc1,1762199748
100002162,amlodipine,C08CA01,CC1=CC2=C([C@H](CC(=O)O2)C3=CC4=CC=CC=C4N(C3=O)CC(C)C)C(=O)O1,Cc1cc2c(c(=O)o1)C(c1cc3ccccc3n(CC(C)C)c1=O)CC(=O)O2,1762199749
100002163,amobarbital,N05CA02,CC1=CC2=C(C=C1)[C@@H](CC(O2)(C)C)NC(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-],Cc1ccc2c(c1)OC(C)(C)CC2NC(=O)CSCc1ccc([N+](=O)[O-])cc1,1762199749
100002168,amorolfine,D01AE16,CC1=CC(=O)OC2=C3[C@H](CC(=O)OC3=C(C(=C12)O)C(=O)C)C4=CC(=C(C=C4)OCC(=O)OC)OC,COC(=O)COc1ccc(C2CC(=O)Oc3c(C(C)=O)c(O)c4c(C)cc(=O)oc4c32)cc1OC,1762199750
100002170,amoxapine,N06AA17,CC1=CC=C(C=C1)S(=O)(=O)[C@@H]2[C@H]([C@@H]2C(=O)O)C3=CC=CC=C3,Cc1ccc(S(=O)(=O)C2C(C(=O)O)C2c2ccccc2)cc1,1762199750
100002171,amoxicillin,J01CA04,C1[C@H]2CN(C[C@@H]1C3=CC=CC(=O)N3C2)C(=O)C4=NNC(=C4)C5=CC=C(S5)Br,O=C(c1cc(-c2ccc(Br)s2)[nH]n1)N1CC2CC(C1)c1cccc(=O)n1C2,1762199751
